Seed,Coupling,MaxMaxEnergyEffectPercent,FinalCycle,FinalPopulation,MinimumPopulation,MinimumPopulationCycle,MaximumPopulation,MaximumPopulationCycle,LongestNoBirthStreak,FinalBirths,FinalDeaths,FinalAverageGeneration,FinalSpeciesCount,VallePopulation,BosquePopulation,LlanuraPopulation,ValleLocalExtinctionEpisodes,ValleRecolonizations,ValleLongestEmptyPeriod,ValleEmptyAtEnd,BosqueLocalExtinctionEpisodes,BosqueRecolonizations,BosqueLongestEmptyPeriod,BosqueEmptyAtEnd,LlanuraLocalExtinctionEpisodes,LlanuraRecolonizations,LlanuraLongestEmptyPeriod,LlanuraEmptyAtEnd,FinalLivingBodySizeModifier,MeanEffectiveParentBodySizeModifier,FinalLivingEnergyCapacityMultiplier,MeanEffectiveParentEnergyCapacityMultiplier,FinalLivingGeneticSize,FinalLivingBaseMaxEnergy,FinalLivingMaxEnergy,FinalLlanuraBodySizeModifier,FinalLlanuraEnergyCapacityMultiplier,FinalLlanuraGeneticSize,FinalLlanuraMaxEnergy,ValleBosqueMateAcceptance,ValleLlanuraMateAcceptance,BosqueLlanuraMateAcceptance
98765,0.0000,0.000,1600,1971,353,898,15695,856,27,89,8,122.770,2,369,917,685,0,0,0,False,0,0,0,False,2,2,68,False,-0.000253,-0.000099,1.000000,1.000000,1.559368,189.155747,189.155747,-0.000326,1.000000,1.590065,191.304532,0.935655,0.738875,0.524243
98766,0.0000,0.000,1600,9714,292,680,13910,1103,27,170,259,119.897,2,5170,3146,1398,0,0,0,False,0,0,0,False,3,3,78,False,0.000203,0.000060,1.000000,1.000000,1.500537,185.037610,185.037610,0.000578,1.000000,1.516401,186.148100,0.987770,0.286244,0.222761
98767,0.0000,0.000,1600,79,20,870,14528,764,29,1,10,123.139,1,21,53,5,1,1,78,False,1,1,12,False,9,9,137,False,-0.013127,-0.006351,1.000000,1.000000,1.395106,177.657395,177.657395,-0.015358,1.000000,1.381433,176.700336,0.998139,0.928791,0.915633
98768,0.0000,0.000,1600,1275,212,549,16016,1533,29,50,9,120.497,2,128,837,310,0,0,0,False,0,0,0,False,2,2,58,False,0.000238,0.000482,1.000000,1.000000,1.465844,182.609108,182.609108,0.000720,1.000000,1.503002,185.210113,0.997204,0.218003,0.231425
98769,0.0000,0.000,1600,1415,136,550,13749,505,31,104,0,125.379,1,6,1409,0,1,1,10,False,0,0,0,False,12,11,97,True,0.000640,0.000026,1.000000,1.000000,1.474990,183.249275,183.249275,0.000000,1.000000,0.000000,0.000000,0.985289,,
98770,0.0000,0.000,1600,2523,208,549,17094,1356,30,102,16,115.267,2,285,876,1362,0,0,0,False,0,0,0,False,3,3,85,False,0.000135,-0.000022,1.000000,1.000000,1.530899,187.162916,187.162916,-0.000278,1.000000,1.543633,188.054275,0.999352,0.135498,0.126618
98771,0.0000,0.000,1600,8372,121,550,15562,1153,7,403,114,125.527,2,1086,6311,975,0,0,0,False,0,0,0,False,1,1,21,False,-0.000930,-0.000324,1.000000,1.000000,1.487575,184.130231,184.130231,-0.000855,1.000000,1.561171,189.281993,0.946871,0.260007,0.141804
98772,0.0000,0.000,1600,329,38,803,15318,1504,22,12,2,126.328,1,27,252,50,0,0,0,False,0,0,0,False,4,4,43,False,0.004781,0.000099,1.000000,1.000000,1.484392,183.907456,183.907456,0.010285,1.000000,1.452923,181.704595,0.784889,0.874511,0.498036
98773,0.0000,0.000,1600,10278,195,546,16748,1359,31,121,287,119.361,2,5376,2998,1904,0,0,0,False,0,0,0,False,3,3,91,False,0.000492,0.000057,1.000000,1.000000,1.539502,187.765114,187.765114,-0.000227,1.000000,1.564145,189.490122,0.997531,0.291835,0.263438
98774,0.0000,0.000,1600,11918,51,903,16293,1346,28,426,109,123.638,1,4599,7068,251,0,0,0,False,0,0,0,False,2,2,69,False,0.000103,0.000283,1.000000,1.000000,1.488866,184.220630,184.220630,0.001219,1.000000,1.520113,186.407889,0.923135,0.715347,0.480176
