Seed,Coupling,MaxPlantEnergyEffectPercent,FinalCycle,FinalPopulation,MinimumPopulation,MinimumPopulationCycle,MaximumPopulation,MaximumPopulationCycle,LongestNoBirthStreak,FinalBirths,FinalDeaths,FinalAverageGeneration,FinalSpeciesCount,VallePopulation,BosquePopulation,LlanuraPopulation,ValleLocalExtinctionEpisodes,ValleRecolonizations,ValleLongestEmptyPeriod,ValleEmptyAtEnd,BosqueLocalExtinctionEpisodes,BosqueRecolonizations,BosqueLongestEmptyPeriod,BosqueEmptyAtEnd,LlanuraLocalExtinctionEpisodes,LlanuraRecolonizations,LlanuraLongestEmptyPeriod,LlanuraEmptyAtEnd,FinalLivingFeedingModifier,MeanEffectiveParentFeedingModifier,FinalLivingPlantEnergyMultiplier,MeanEffectiveParentPlantEnergyMultiplier,FinalLivingPlantDigestionEfficiency,FinalLivingEffectivePlantEnergyAssimilation,FinalLlanuraFeedingModifier,FinalLlanuraPlantEnergyMultiplier,FinalLlanuraPlantDigestionEfficiency,FinalLlanuraEffectivePlantEnergyAssimilation,ValleBosqueMateAcceptance,ValleLlanuraMateAcceptance,BosqueLlanuraMateAcceptance
98765,0.0000,0.000,1600,1971,353,898,15695,856,27,89,8,122.770,2,369,917,685,0,0,0,False,0,0,0,False,2,2,68,False,-0.001178,-0.000024,1.000000,1.000000,0.993600,0.993600,-0.000703,1.000000,0.997873,0.997873,0.935655,0.738875,0.524243
98766,0.0000,0.000,1600,9714,292,680,13910,1103,27,170,259,119.897,2,5170,3146,1398,0,0,0,False,0,0,0,False,3,3,78,False,-0.000612,-0.000477,1.000000,1.000000,0.995561,0.995561,-0.001518,1.000000,0.998015,0.998015,0.987770,0.286244,0.222761
98767,0.0000,0.000,1600,79,20,870,14528,764,29,1,10,123.139,1,21,53,5,1,1,78,False,1,1,12,False,9,9,137,False,0.000000,-0.000005,1.000000,1.000000,0.997254,0.997254,0.000000,1.000000,1.000000,1.000000,0.998139,0.928791,0.915633
98768,0.0000,0.000,1600,1275,212,549,16016,1533,29,50,9,120.497,2,128,837,310,0,0,0,False,0,0,0,False,2,2,58,False,-0.002144,-0.000462,1.000000,1.000000,0.997107,0.997107,-0.000948,1.000000,0.998308,0.998308,0.997204,0.218003,0.231425
98769,0.0000,0.000,1600,1415,136,550,13749,505,31,104,0,125.379,1,6,1409,0,1,1,10,False,0,0,0,False,12,11,97,True,-0.000107,0.000040,1.000000,1.000000,0.996199,0.996199,0.000000,1.000000,0.000000,0.000000,0.985289,,
98770,0.0000,0.000,1600,2523,208,549,17094,1356,30,102,16,115.267,2,285,876,1362,0,0,0,False,0,0,0,False,3,3,85,False,0.000296,0.000220,1.000000,1.000000,0.996416,0.996416,0.000401,1.000000,0.997819,0.997819,0.999352,0.135498,0.126618
98771,0.0000,0.000,1600,8372,121,550,15562,1153,7,403,114,125.527,2,1086,6311,975,0,0,0,False,0,0,0,False,1,1,21,False,0.000945,0.000487,1.000000,1.000000,0.995123,0.995123,0.001687,1.000000,0.998075,0.998075,0.946871,0.260007,0.141804
98772,0.0000,0.000,1600,329,38,803,15318,1504,22,12,2,126.328,1,27,252,50,0,0,0,False,0,0,0,False,4,4,43,False,-0.003855,-0.000029,1.000000,1.000000,0.989989,0.989989,-0.008272,1.000000,0.982723,0.982723,0.784889,0.874511,0.498036
98773,0.0000,0.000,1600,10278,195,546,16748,1359,31,121,287,119.361,2,5376,2998,1904,0,0,0,False,0,0,0,False,3,3,91,False,0.000163,0.000127,1.000000,1.000000,0.996375,0.996375,0.001660,1.000000,0.997519,0.997519,0.997531,0.291835,0.263438
98774,0.0000,0.000,1600,11918,51,903,16293,1346,28,426,109,123.638,1,4599,7068,251,0,0,0,False,0,0,0,False,2,2,69,False,-0.000673,0.000084,1.000000,1.000000,0.995264,0.995264,-0.000178,1.000000,0.998918,0.998918,0.923135,0.715347,0.480176
