Seed,Coupling,MaxActivityCostEffectPercent,FinalCycle,FinalPopulation,MinimumPopulation,MinimumPopulationCycle,MaximumPopulation,MaximumPopulationCycle,LongestNoBirthStreak,FinalBirths,FinalDeaths,FinalAverageGeneration,FinalSpeciesCount,VallePopulation,BosquePopulation,LlanuraPopulation,ValleLocalExtinctionEpisodes,ValleRecolonizations,ValleLongestEmptyPeriod,ValleEmptyAtEnd,BosqueLocalExtinctionEpisodes,BosqueRecolonizations,BosqueLongestEmptyPeriod,BosqueEmptyAtEnd,LlanuraLocalExtinctionEpisodes,LlanuraRecolonizations,LlanuraLongestEmptyPeriod,LlanuraEmptyAtEnd,FinalLivingLocomotionModifier,MeanEffectiveParentLocomotionModifier,FinalLivingActivityCostMultiplier,MeanEffectiveParentActivityCostMultiplier,FinalLivingBaseActivityCost,FinalLivingActivityCost,FinalLivingEnergyCost,FinalLlanuraLocomotionModifier,FinalLlanuraActivityCostMultiplier,FinalLlanuraActivityCost,ValleBosqueMateAcceptance,ValleLlanuraMateAcceptance,BosqueLlanuraMateAcceptance
98765,0.0000,0.000,1600,1971,353,898,15695,856,27,89,8,122.770,2,369,917,685,0,0,0,False,0,0,0,False,2,2,68,False,-0.001210,-0.000678,1.000000,1.000000,1.149053,1.149053,8.885004,-0.001790,1.000000,1.083654,0.935655,0.738875,0.524243
98766,0.0000,0.000,1600,9714,292,680,13910,1103,27,170,259,119.897,2,5170,3146,1398,0,0,0,False,0,0,0,False,3,3,78,False,-0.000505,-0.000475,1.000000,1.000000,1.401319,1.401319,8.460194,-0.000314,1.000000,1.206345,0.987770,0.286244,0.222761
98767,0.0000,0.000,1600,79,20,870,14528,764,29,1,10,123.139,1,21,53,5,1,1,78,False,1,1,12,False,9,9,137,False,0.007781,0.002416,1.000000,1.000000,1.328798,1.328798,8.296268,0.003017,1.000000,1.310856,0.998139,0.928791,0.915633
98768,0.0000,0.000,1600,1275,212,549,16016,1533,29,50,9,120.497,2,128,837,310,0,0,0,False,0,0,0,False,2,2,58,False,-0.000775,-0.000154,1.000000,1.000000,1.274107,1.274107,8.631946,-0.000015,1.000000,1.227457,0.997204,0.218003,0.231425
98769,0.0000,0.000,1600,1415,136,550,13749,505,31,104,0,125.379,1,6,1409,0,1,1,10,False,0,0,0,False,12,11,97,True,0.000175,-0.000086,1.000000,1.000000,1.490249,1.490249,8.748318,0.000000,1.000000,0.000000,0.985289,,
98770,0.0000,0.000,1600,2523,208,549,17094,1356,30,102,16,115.267,2,285,876,1362,0,0,0,False,0,0,0,False,3,3,85,False,-0.000449,0.000036,1.000000,1.000000,1.326201,1.326201,8.719508,-0.000460,1.000000,1.271025,0.999352,0.135498,0.126618
98771,0.0000,0.000,1600,8372,121,550,15562,1153,7,403,114,125.527,2,1086,6311,975,0,0,0,False,0,0,0,False,1,1,21,False,-0.000055,0.000073,1.000000,1.000000,1.240430,1.240430,8.716733,-0.000165,1.000000,0.944184,0.946871,0.260007,0.141804
98772,0.0000,0.000,1600,329,38,803,15318,1504,22,12,2,126.328,1,27,252,50,0,0,0,False,0,0,0,False,4,4,43,False,-0.003861,0.000101,1.000000,1.000000,1.433388,1.433388,8.802809,-0.014703,1.000000,1.476306,0.784889,0.874511,0.498036
98773,0.0000,0.000,1600,10278,195,546,16748,1359,31,121,287,119.361,2,5376,2998,1904,0,0,0,False,0,0,0,False,3,3,91,False,0.000206,-0.000016,1.000000,1.000000,1.223897,1.223897,9.008250,-0.000473,1.000000,1.135911,0.997531,0.291835,0.263438
98774,0.0000,0.000,1600,11918,51,903,16293,1346,28,426,109,123.638,1,4599,7068,251,0,0,0,False,0,0,0,False,2,2,69,False,-0.002110,-0.000341,1.000000,1.000000,1.341934,1.341934,9.008983,-0.002400,1.000000,1.288634,0.923135,0.715347,0.480176
98765,0.1250,1.000,1600,2603,106,692,15482,1388,32,117,40,124.907,1,83,1117,1403,1,1,7,False,0,0,0,False,4,4,94,False,-0.000726,-0.000709,1.000091,1.000089,1.018626,1.018730,8.634464,-0.000033,1.000004,1.001625,0.900660,0.661509,0.431978
98766,0.1250,1.000,1600,6660,129,551,13676,505,32,350,46,126.758,1,729,5931,0,0,0,0,False,0,0,0,False,12,11,96,True,-0.000605,-0.000160,1.000076,1.000020,1.511149,1.511262,8.923197,0.000000,1.000000,0.000000,0.987497,,
98767,0.1250,1.000,1600,6558,22,563,14364,514,27,107,251,118.960,1,3072,3320,166,0,0,0,False,0,0,0,False,5,5,91,False,0.000149,0.000228,0.999981,0.999971,1.524646,1.524617,8.651665,-0.000016,1.000002,1.447625,0.997736,0.666188,0.625381
98768,0.1250,1.000,1600,13882,182,552,16359,1590,31,56,528,119.379,2,4125,7625,2132,0,0,0,False,0,0,0,False,3,3,89,False,0.002270,0.000518,0.999716,0.999935,1.314224,1.313847,8.673881,0.000523,0.999935,1.264616,0.188858,0.962763,0.108654
98769,0.1250,1.000,1600,1110,131,550,16437,1537,32,34,7,117.060,1,2,63,1045,0,0,0,False,0,0,0,False,2,2,97,False,-0.001011,-0.000377,1.000126,1.000047,1.032662,1.032794,8.408551,-0.001024,1.000128,1.024448,0.343711,0.966228,0.234571
98770,0.1250,1.000,1600,6047,33,926,15790,1580,22,30,459,117.609,1,2758,2305,984,2,2,16,False,0,0,0,False,3,3,106,False,-0.000260,-0.000038,1.000033,1.000005,1.464678,1.464728,8.745680,0.000073,0.999991,1.206121,0.982097,0.766652,0.667550
98771,0.1250,1.000,1600,2610,19,900,15849,1485,27,84,81,115.565,1,497,925,1188,2,2,33,False,1,1,3,False,3,3,70,False,0.000964,0.000393,0.999879,0.999951,1.234326,1.234173,8.956181,0.000731,0.999909,1.200691,0.982898,0.903852,0.965185
98772,0.1250,1.000,1600,1221,7,1164,14025,670,36,65,8,122.651,1,123,1096,2,0,0,0,False,0,0,0,False,8,8,177,False,0.002921,0.000142,0.999635,0.999982,1.551654,1.551089,8.952778,0.004341,0.999457,1.424600,0.997650,0.915218,0.916052
98773,0.1250,1.000,1600,4644,275,546,16098,1218,6,227,85,114.310,2,122,2620,1902,0,0,0,False,0,0,0,False,1,1,37,False,0.000519,0.000152,0.999935,0.999981,1.368807,1.368718,8.675381,0.000715,0.999911,1.309330,0.706783,0.489612,0.126977
98774,0.1250,1.000,1600,7165,6,1005,14065,779,35,364,67,122.963,1,2399,4766,0,0,0,0,False,0,0,0,False,11,10,181,True,0.002525,0.000726,0.999684,0.999909,1.556442,1.555955,8.493508,0.000000,1.000000,0.000000,0.925714,,
98765,0.2500,2.000,1600,12,9,1596,15178,1281,30,0,0,121.667,1,1,11,0,0,0,0,False,0,0,0,False,6,5,91,True,-0.001836,-0.000755,1.000459,1.000189,1.273205,1.273763,8.506713,0.000000,1.000000,0.000000,0.948612,,
98766,0.2500,2.000,1600,10853,4,562,14270,513,36,174,88,122.199,1,3625,7228,0,0,0,0,False,1,1,18,False,8,7,202,True,0.000067,-0.000184,0.999983,1.000046,1.558415,1.558391,8.573862,0.000000,1.000000,0.000000,0.999196,,
98767,0.2500,2.000,1600,9930,4,559,14317,511,37,1,277,116.919,1,4074,5748,108,0,0,0,False,0,0,0,False,9,9,183,False,0.000805,0.000439,0.999799,0.999890,1.328403,1.328132,8.147400,0.000349,0.999913,1.350761,0.997742,0.996688,0.999234
98768,0.2500,2.000,1600,1430,195,891,15417,1564,23,43,104,113.268,1,32,105,1293,0,0,0,False,0,0,0,False,2,2,36,False,0.000272,0.000744,0.999932,0.999814,1.347332,1.347227,9.246204,0.000166,0.999959,1.335146,0.981008,0.218542,0.169294
98769,0.2500,2.000,1600,2374,161,549,15479,1516,31,117,33,117.976,2,44,1302,1028,0,0,0,False,0,0,0,False,2,2,89,False,-0.000215,0.000073,1.000054,0.999982,1.265946,1.266016,8.790398,0.000095,0.999976,1.121894,0.987257,0.304521,0.242186
98770,0.2500,2.000,1600,13007,4,795,13984,747,30,106,179,116.581,1,5192,6109,1706,1,1,34,False,2,2,63,False,4,4,59,False,0.000462,0.000155,0.999885,0.999961,1.357498,1.357339,8.791396,0.000348,0.999913,1.295659,0.991163,0.724527,0.650447
98771,0.2500,2.000,1600,6835,152,1252,15212,907,14,327,70,120.478,2,857,5201,777,1,1,5,False,0,0,0,False,5,5,43,False,0.000142,-0.000203,0.999964,1.000051,1.524893,1.524843,9.230727,-0.000020,1.000005,1.526723,0.832189,0.666219,0.320664
98772,0.2500,2.000,1600,6206,482,1081,15495,1287,21,223,68,116.815,2,152,4126,1928,0,0,0,False,0,0,0,False,0,0,0,False,-0.000459,-0.000001,1.000115,1.000000,1.336161,1.336322,8.698166,-0.000009,1.000002,1.258540,0.733856,0.406691,0.102688
98773,0.2500,2.000,1600,1356,114,550,16932,1414,29,0,287,122.299,1,511,842,3,0,0,0,False,0,0,0,False,2,2,100,False,-0.000283,-0.000070,1.000071,1.000018,1.458570,1.458672,8.779118,0.000000,1.000000,1.509363,0.927142,0.759020,0.902062
98774,0.2500,2.000,1600,2121,485,551,15750,1278,6,96,4,117.139,2,25,1028,1068,0,0,0,False,0,0,0,False,1,1,57,False,0.000714,0.000153,0.999822,0.999962,1.192084,1.191840,8.430331,-0.000085,1.000021,1.060860,0.902866,0.173665,0.070993
