Seed,Coupling,MaxEnergyEffectPercent,FinalCycle,FinalPopulation,MinimumPopulation,MinimumPopulationCycle,FinalBirths,FinalDeaths,FinalAverageGeneration,FinalSpeciesCount,VallePopulation,BosquePopulation,LlanuraPopulation,ValleEstablishedThenExtinct,BosqueEstablishedThenExtinct,LlanuraEstablishedThenExtinct,FinalLivingMetabolicModifier,FinalParentMetabolicModifier,ValleBosqueMateAcceptance,ValleLlanuraMateAcceptance,BosqueLlanuraMateAcceptance
98765,0.0000,0.000,1600,3437,332,549,162,194,114.818,2,1065,871,1501,False,False,True,-0.000290,-0.000670,0.985966,0.228433,0.173946
98766,0.0000,0.000,1600,513,13,553,23,147,121.129,1,126,360,27,False,False,True,0.000941,0.000217,0.983699,0.202157,0.143036
98767,0.0000,0.000,1600,11346,24,553,217,102,128.070,1,4055,7291,0,True,False,True,-0.000424,-0.000390,0.996166,,
98768,0.0000,0.000,1600,550,20,553,29,0,123.713,1,39,505,6,False,False,True,-0.000325,-0.000136,0.818254,0.385887,0.125320
98769,0.0000,0.000,1600,14869,185,547,182,195,121.905,1,7069,7725,75,False,False,True,-0.000045,-0.000174,0.986770,0.962990,0.916921
98765,0.1250,1.000,1154,0,0,1154,0,1,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
98766,0.1250,1.000,1600,5873,347,903,293,33,120.091,2,1098,3528,1247,False,False,True,0.000406,0.000509,0.987715,0.274488,0.209911
98767,0.1250,1.000,1600,1001,6,1483,37,6,122.255,1,194,807,0,True,True,True,0.000020,0.000000,0.993479,,
98768,0.1250,1.000,1600,10599,258,550,263,189,122.345,1,4731,4341,1527,True,False,True,-0.001322,-0.001067,0.942784,0.433444,0.264939
98769,0.1250,1.000,1600,4376,603,548,175,30,116.601,2,296,2284,1796,False,False,True,0.000683,0.000697,0.998432,0.145013,0.130025
98765,0.2500,2.000,1600,128,9,1363,9,0,122.711,1,6,122,0,False,False,True,0.006329,0.006906,0.980844,,
98766,0.2500,2.000,1600,11747,6,559,558,96,128.421,1,4404,7343,0,False,True,True,0.000821,0.000699,0.998862,,
98767,0.2500,2.000,1600,3118,7,1263,126,14,127.202,1,2137,971,10,True,True,True,0.005289,0.004534,0.990195,0.872187,0.803462
98768,0.2500,2.000,1600,7054,63,911,255,368,122.904,2,2007,3484,1563,False,False,True,0.000009,0.000119,0.644647,0.769838,0.274886
98769,0.2500,2.000,1384,0,0,1384,0,1,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
