Seed,Coupling,MaxEnergyEffectPercent,FinalCycle,FinalPopulation,MinimumPopulation,MinimumPopulationCycle,FinalBirths,FinalDeaths,FinalAverageGeneration,FinalSpeciesCount,VallePopulation,BosquePopulation,LlanuraPopulation,ValleEstablishedThenExtinct,BosqueEstablishedThenExtinct,LlanuraEstablishedThenExtinct,FinalLivingMetabolicModifier,FinalParentMetabolicModifier,ValleBosqueMateAcceptance,ValleLlanuraMateAcceptance,BosqueLlanuraMateAcceptance
98765,0.0000,0.000,1600,3437,332,549,162,194,114.818,2,1065,871,1501,False,False,True,-0.000290,-0.000670,0.985966,0.228433,0.173946
98766,0.0000,0.000,1600,513,13,553,23,147,121.129,1,126,360,27,False,False,True,0.000941,0.000217,0.983699,0.202157,0.143036
98767,0.0000,0.000,1600,11346,24,553,217,102,128.070,1,4055,7291,0,True,False,True,-0.000424,-0.000390,0.996166,,
98768,0.0000,0.000,1600,550,20,553,29,0,123.713,1,39,505,6,False,False,True,-0.000325,-0.000136,0.818254,0.385887,0.125320
98769,0.0000,0.000,1600,14869,185,547,182,195,121.905,1,7069,7725,75,False,False,True,-0.000045,-0.000174,0.986770,0.962990,0.916921
98770,0.0000,0.000,1600,13579,3,1151,124,205,116.625,1,3658,8273,1648,True,True,True,-0.001418,-0.000663,0.998846,0.993724,0.988731
98771,0.0000,0.000,1195,0,0,1195,0,1,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
98772,0.0000,0.000,1600,10834,5,895,301,111,122.660,1,3126,7708,0,True,False,True,-0.000130,-0.000034,0.976152,,
98773,0.0000,0.000,1600,2424,83,547,118,1,125.242,1,19,2404,1,False,False,True,-0.002596,-0.002398,0.995695,0.838967,0.815854
98774,0.0000,0.000,1600,4054,22,900,167,33,121.294,2,367,2950,737,False,True,True,0.000336,0.000266,0.635361,0.911760,0.380043
98775,0.0000,0.000,1086,0,0,1086,0,1,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
98776,0.0000,0.000,558,0,0,558,0,3,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
98777,0.0000,0.000,1600,10111,953,996,93,266,115.753,2,3982,4683,1446,False,False,True,0.000511,0.000277,0.759825,0.387129,0.105179
98778,0.0000,0.000,1600,139,118,1596,5,1,113.964,1,0,4,135,True,False,True,-0.000628,-0.001297,,,0.345080
98779,0.0000,0.000,1600,5724,250,550,37,424,118.592,2,2066,2383,1275,False,False,True,0.000062,-0.000052,0.966720,0.491614,0.360471
98780,0.0000,0.000,1600,8093,205,550,439,102,118.359,2,1669,5476,948,False,False,True,-0.000934,-0.000911,0.995082,0.225582,0.191834
98781,0.0000,0.000,1600,2535,50,1116,140,21,120.769,1,85,2292,158,True,False,True,-0.000343,-0.000471,0.441940,0.693839,0.096936
98782,0.0000,0.000,1600,9770,362,551,351,71,121.934,1,2096,7673,1,True,False,True,-0.000536,-0.000499,0.999688,0.183961,0.175763
98783,0.0000,0.000,1600,4650,142,1180,224,47,114.392,1,1250,1569,1831,False,False,True,-0.000555,-0.000904,0.997949,0.594730,0.621288
98784,0.0000,0.000,598,0,0,598,0,1,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
98765,0.1250,1.000,1154,0,0,1154,0,1,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
98766,0.1250,1.000,1600,5873,347,903,293,33,120.091,2,1098,3528,1247,False,False,True,0.000406,0.000509,0.987715,0.274488,0.209911
98767,0.1250,1.000,1600,1001,6,1483,37,6,122.255,1,194,807,0,True,True,True,0.000020,0.000000,0.993479,,
98768,0.1250,1.000,1600,10599,258,550,263,189,122.345,1,4731,4341,1527,True,False,True,-0.001322,-0.001067,0.942784,0.433444,0.264939
98769,0.1250,1.000,1600,4376,603,548,175,30,116.601,2,296,2284,1796,False,False,True,0.000683,0.000697,0.998432,0.145013,0.130025
98770,0.1250,1.000,1600,1242,162,923,39,59,113.882,1,9,39,1194,True,False,True,0.000707,0.001468,0.990257,0.954787,0.961181
98771,0.1250,1.000,1600,12158,76,1332,372,116,121.817,1,4594,7553,11,True,False,False,0.001199,0.000692,0.941175,0.083417,0.043479
98772,0.1250,1.000,1600,2345,166,731,87,45,114.597,2,69,570,1706,False,False,False,0.000363,0.000955,0.857513,0.789296,0.458128
98773,0.1250,1.000,1600,691,95,548,45,0,125.792,1,17,674,0,True,False,True,0.001381,0.002303,0.990998,,
98774,0.1250,1.000,1600,27,27,1599,0,0,120.556,1,7,20,0,False,False,True,0.000009,0.000000,0.994304,,
98775,0.1250,1.000,1600,810,16,1359,30,1,123.172,1,23,787,0,True,False,True,-0.000389,-0.000629,0.990407,,
98776,0.1250,1.000,1600,2643,240,549,120,16,122.184,2,213,1187,1243,False,False,True,-0.000947,-0.000659,0.898754,0.612144,0.348214
98777,0.1250,1.000,1600,825,10,1500,47,5,122.510,1,467,358,0,False,False,True,-0.002842,-0.004311,0.954086,,
98778,0.1250,1.000,1600,12311,50,895,177,204,121.260,1,6562,5040,709,False,False,True,0.000484,0.000158,0.978074,0.306027,0.229870
98779,0.1250,1.000,1600,5823,206,549,246,81,114.443,1,1441,2930,1452,True,False,True,0.000187,0.000050,0.999650,0.977490,0.973248
98780,0.1250,1.000,1600,2686,21,554,0,272,118.533,1,1441,1210,35,True,False,True,0.001807,0.000000,0.986281,0.988218,0.959824
98781,0.1250,1.000,1600,8145,183,1128,405,105,119.564,1,2189,4816,1140,False,False,True,0.000148,0.000174,0.644792,0.727302,0.224626
98782,0.1250,1.000,1600,11651,36,554,341,79,126.384,1,4220,7431,0,False,False,True,0.003301,0.003799,0.997787,,
98783,0.1250,1.000,1600,2013,817,549,100,97,117.254,2,742,1093,178,False,False,True,0.000311,0.000516,0.622636,0.267623,0.045491
98784,0.1250,1.000,1600,10541,17,1416,0,473,126.140,1,4224,6154,163,True,False,True,-0.004253,0.000000,0.986418,0.993460,0.997114
98765,0.2500,2.000,1600,128,9,1363,9,0,122.711,1,6,122,0,False,False,True,0.006329,0.006906,0.980844,,
98766,0.2500,2.000,1600,11747,6,559,558,96,128.421,1,4404,7343,0,False,True,True,0.000821,0.000699,0.998862,,
98767,0.2500,2.000,1600,3118,7,1263,126,14,127.202,1,2137,971,10,True,True,True,0.005289,0.004534,0.990195,0.872187,0.803462
98768,0.2500,2.000,1600,7054,63,911,255,368,122.904,2,2007,3484,1563,False,False,True,0.000009,0.000119,0.644647,0.769838,0.274886
98769,0.2500,2.000,1384,0,0,1384,0,1,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
98770,0.2500,2.000,1600,2139,218,1403,101,33,117.698,2,274,508,1357,False,False,True,0.007126,0.006997,0.982781,0.212292,0.274518
98771,0.2500,2.000,1600,4351,814,545,88,367,115.900,2,1570,1244,1537,True,False,True,0.000321,0.000438,0.979236,0.377210,0.279472
98772,0.2500,2.000,1600,5123,267,1314,292,42,121.011,1,239,4884,0,False,False,True,0.001204,0.001107,0.971982,,
98773,0.2500,2.000,1600,2022,282,1554,114,12,115.655,2,126,923,973,False,False,False,-0.000330,-0.000275,0.989318,0.065524,0.052002
98774,0.2500,2.000,1600,12180,167,551,528,111,117.464,1,5128,5244,1808,False,False,True,0.002500,0.002775,0.557317,0.908931,0.314312
98775,0.2500,2.000,1600,3088,4,553,147,35,118.315,2,518,1528,1042,True,False,True,0.000273,0.000180,0.834357,0.430626,0.163815
98776,0.2500,2.000,1600,6628,73,686,280,305,117.429,2,1868,3305,1455,False,False,True,0.000566,0.000402,0.410008,0.738289,0.140013
98777,0.2500,2.000,1600,2744,26,1498,157,15,123.058,1,674,1959,111,True,False,True,0.000902,0.000967,0.953582,0.607856,0.439089
98778,0.2500,2.000,1600,15424,977,1486,411,163,121.543,2,5291,8650,1483,False,False,True,0.000923,0.000793,0.673992,0.803328,0.300499
98779,0.2500,2.000,1600,2691,216,551,124,20,115.326,2,43,1094,1554,False,False,True,-0.000359,-0.000549,0.487875,0.812875,0.180356
98780,0.2500,2.000,1600,6105,25,993,0,522,122.328,1,1956,4116,33,True,False,True,0.001320,0.000000,0.985550,0.998596,0.984745
98781,0.2500,2.000,1600,3807,208,1486,197,64,119.029,1,1233,2239,335,False,False,True,0.001279,0.001003,0.968405,0.854608,0.743819
98782,0.2500,2.000,1600,623,35,1378,30,0,124.144,1,73,550,0,False,False,True,0.003556,0.004465,0.996004,,
98783,0.2500,2.000,1600,4604,996,6,233,41,113.475,1,2632,63,1909,False,False,True,0.000015,0.000059,0.989416,0.966446,0.977247
98784,0.2500,2.000,1600,1277,212,549,65,12,118.159,1,26,68,1183,False,False,True,0.000895,0.001214,0.984353,0.430686,0.366752
