Seed,Coupling,MaxEnergyEffectPercent,FinalCycle,FinalPopulation,MinimumPopulation,MinimumPopulationCycle,FinalBirths,FinalDeaths,FinalAverageGeneration,FinalSpeciesCount,VallePopulation,BosquePopulation,LlanuraPopulation,ValleEstablishedThenExtinct,BosqueEstablishedThenExtinct,LlanuraEstablishedThenExtinct,FinalLivingMetabolicModifier,FinalParentMetabolicModifier,ValleBosqueMateAcceptance,ValleLlanuraMateAcceptance,BosqueLlanuraMateAcceptance
98765,0.0000,0.000,1600,3437,332,549,162,194,114.818,2,1065,871,1501,False,False,True,-0.000290,-0.000670,0.985966,0.228433,0.173946
98766,0.0000,0.000,1600,513,13,553,23,147,121.129,1,126,360,27,False,False,True,0.000941,0.000217,0.983699,0.202157,0.143036
98767,0.0000,0.000,1600,11346,24,553,217,102,128.070,1,4055,7291,0,True,False,True,-0.000424,-0.000390,0.996166,,
98768,0.0000,0.000,1600,550,20,553,29,0,123.713,1,39,505,6,False,False,True,-0.000325,-0.000136,0.818254,0.385887,0.125320
98769,0.0000,0.000,1600,14869,185,547,182,195,121.905,1,7069,7725,75,False,False,True,-0.000045,-0.000174,0.986770,0.962990,0.916921
98770,0.0000,0.000,1600,13579,3,1151,124,205,116.625,1,3658,8273,1648,True,True,True,-0.001418,-0.000663,0.998846,0.993724,0.988731
98771,0.0000,0.000,1195,0,0,1195,0,1,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
98772,0.0000,0.000,1600,10834,5,895,301,111,122.660,1,3126,7708,0,True,False,True,-0.000130,-0.000034,0.976152,,
98773,0.0000,0.000,1600,2424,83,547,118,1,125.242,1,19,2404,1,False,False,True,-0.002596,-0.002398,0.995695,0.838967,0.815854
98774,0.0000,0.000,1600,4054,22,900,167,33,121.294,2,367,2950,737,False,True,True,0.000336,0.000266,0.635361,0.911760,0.380043
98775,0.0000,0.000,1086,0,0,1086,0,1,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
98776,0.0000,0.000,558,0,0,558,0,3,0.000,0,0,0,0,True,True,True,0.000000,0.000000,,,
