Seed,Coupling,MaxThermalChallengeEffectPercent,FinalCycle,FinalPopulation,MinimumPopulation,MinimumPopulationCycle,MaximumPopulation,MaximumPopulationCycle,LongestNoBirthStreak,FinalBirths,FinalDeaths,FinalAverageGeneration,FinalSpeciesCount,VallePopulation,BosquePopulation,LlanuraPopulation,ValleLocalExtinctionEpisodes,ValleRecolonizations,ValleLongestEmptyPeriod,ValleEmptyAtEnd,BosqueLocalExtinctionEpisodes,BosqueRecolonizations,BosqueLongestEmptyPeriod,BosqueEmptyAtEnd,LlanuraLocalExtinctionEpisodes,LlanuraRecolonizations,LlanuraLongestEmptyPeriod,LlanuraEmptyAtEnd,FinalLivingThermalModifier,MeanEffectiveParentThermalModifier,FinalLivingStressMultiplier,MeanEffectiveParentStressMultiplier,FinalLivingThermalFitness,MeanEffectiveParentThermalFitness,FinalLlanuraThermalModifier,FinalLlanuraThermalFitness,ValleBosqueMateAcceptance,ValleLlanuraMateAcceptance,BosqueLlanuraMateAcceptance
98765,0.0000,0.000,1154,0,0,1154,16618,1107,45,0,1,0.000,0,0,0,0,1,0,1,True,2,1,19,True,4,3,130,True,0.000000,-0.000150,1.000000,1.000000,0.000000,0.850377,0.000000,0.000000,,,
98766,0.0000,0.000,1600,5873,347,903,14759,861,27,293,33,120.091,2,1098,3528,1247,0,0,0,False,0,0,0,False,3,3,71,False,0.000763,0.000420,1.000000,1.000000,0.868687,0.859004,0.002471,0.685993,0.987715,0.274488,0.209911
98767,0.0000,0.000,1600,1001,6,1483,14688,756,37,37,6,122.255,1,194,807,0,2,2,88,False,1,1,30,False,9,8,150,True,-0.000006,0.000114,1.000000,1.000000,0.938229,0.863884,0.000000,0.000000,0.993479,,
98768,0.0000,0.000,1600,10599,258,550,16079,1106,29,263,189,122.345,1,4731,4341,1527,1,1,2,False,0,0,0,False,3,3,47,False,-0.005601,-0.001294,1.000000,1.000000,0.844300,0.865584,-0.004503,0.671115,0.942784,0.433444,0.264939
98769,0.0000,0.000,1600,4376,603,548,16638,1352,6,175,30,116.601,2,296,2284,1796,0,0,0,False,0,0,0,False,2,2,42,False,-0.000014,0.000168,1.000000,1.000000,0.853474,0.866301,0.000098,0.728192,0.998432,0.145013,0.130025
98770,0.0000,0.000,1600,1242,162,923,16076,1561,20,39,59,113.882,1,9,39,1194,1,1,14,False,0,0,0,False,4,4,19,False,-0.000560,-0.000246,1.000000,1.000000,0.681152,0.856056,-0.000541,0.679263,0.990257,0.954787,0.961181
98771,0.0000,0.000,1600,12158,76,1332,16972,1287,8,372,116,121.817,1,4594,7553,11,2,2,14,False,0,0,0,False,0,0,0,False,-0.000305,0.000037,1.000000,1.000000,0.893154,0.867317,0.000000,0.736210,0.941175,0.083417,0.043479
98772,0.0000,0.000,1600,2345,166,731,15724,964,20,87,45,114.597,2,69,570,1706,0,0,0,False,0,0,0,False,0,0,0,False,-0.000122,0.000147,1.000000,1.000000,0.773517,0.845261,-0.000121,0.771790,0.857513,0.789296,0.458128
98773,0.0000,0.000,1600,691,95,548,13753,502,32,45,0,125.792,1,17,674,0,1,1,2,False,0,0,0,False,11,10,102,True,-0.000463,-0.000141,1.000000,1.000000,0.983008,0.885940,0.000000,0.000000,0.990998,,
98774,0.0000,0.000,1600,27,27,1599,14801,1549,34,0,0,120.556,1,7,20,0,0,0,0,False,0,0,0,False,11,10,124,True,0.000369,0.000245,1.000000,1.000000,0.915609,0.861481,0.000000,0.000000,0.994304,,
